# x	y	u	v	mask
  0.2857	 12.2857	  0.0000	  0.0000	  0.0000
  0.4571	 12.2857	  0.0000	  0.0000	  0.0000
  0.6286	 12.2857	  0.0000	  0.0000	  0.0000
  0.8000	 12.2857	  0.0000	  0.0000	  0.0000
  0.9714	 12.2857	  0.0000	  0.0000	  0.0000
  1.1429	 12.2857	  0.0000	  0.0000	  0.0000
  1.3143	 12.2857	  0.0000	  0.0000	  0.0000
  1.4857	 12.2857	  0.0000	  0.0000	  0.0000
  1.6571	 12.2857	  0.0000	  0.0000	  0.0000
  1.8286	 12.2857	  0.0000	  0.0000	  0.0000
  2.0000	 12.2857	  0.0000	  0.0000	  0.0000
  2.1714	 12.2857	  0.0000	  0.0000	  0.0000
  2.3429	 12.2857	  0.0000	  0.0000	  0.0000
  2.5143	 12.2857	  0.0000	  0.0000	  0.0000
  2.6857	 12.2857	  0.0000	  0.0000	  0.0000
  2.8571	 12.2857	  0.0000	  0.0000	  0.0000
  3.0286	 12.2857	  0.0000	  0.0000	  0.0000
  3.2000	 12.2857	  0.0000	  0.0000	  0.0000
  3.3714	 12.2857	  0.0000	  0.0000	  0.0000
  3.5429	 12.2857	  0.0000	  0.0000	  0.0000
  3.7143	 12.2857	  0.0000	  0.0000	  0.0000
  3.8857	 12.2857	  0.1780	  0.0312	  0.0000
  4.0571	 12.2857	 -0.1814	 -0.0246	  0.0000
  4.2286	 12.2857	 -0.5829	 -0.0407	  0.0000
  4.4000	 12.2857	 -0.7373	 -0.0818	  0.0000
  4.5714	 12.2857	 -0.6404	 -0.0372	  0.0000
  4.7429	 12.2857	 -0.7715	 -0.0497	  0.0000
  4.9143	 12.2857	 -0.8650	 -0.0509	  0.0000
  5.0857	 12.2857	 -0.8317	 -0.0476	  0.0000
  5.2571	 12.2857	 -0.8521	  0.0041	  0.0000
  5.4286	 12.2857	 -0.9477	 -0.0392	  0.0000
  5.6000	 12.2857	 -0.8509	  0.0373	  0.0000
  5.7714	 12.2857	 -0.9307	  0.0330	  0.0000
  5.9429	 12.2857	 -0.9955	  0.0312	  0.0000
  6.1143	 12.2857	 -0.7255	  0.0098	  0.0000
  6.2857	 12.2857	 -0.6956	 -0.0273	  0.0000
  6.4571	 12.2857	 -0.4980	 -0.6060	  0.0000
  6.6286	 12.2857	 -0.7022	  0.1808	  0.0000
  6.8000	 12.2857	 -0.9837	  0.1751	  0.0000
  6.9714	 12.2857	 -0.7647	  0.1610	  0.0000
  7.1429	 12.2857	 -0.9074	  0.1591	  0.0000
  7.3143	 12.2857	 -1.0054	  0.1462	  0.0000
  7.4857	 12.2857	 -0.8678	  0.1861	  0.0000
  7.6571	 12.2857	 -0.8048	  0.1726	  0.0000
  7.8286	 12.2857	 -0.7624	  0.2173	  0.0000
  8.0000	 12.2857	 -0.7283	  0.2539	  0.0000
  8.1714	 12.2857	 -0.7605	  0.2604	  0.0000
  8.3429	 12.2857	 -0.5344	  0.1916	  0.0000
  8.5143	 12.2857	 -0.1487	 -0.8645	  0.0000
  8.6857	 12.2857	  0.0000	  0.0000	  0.0000
  8.8571	 12.2857	  0.0000	  0.0000	  0.0000
  9.0286	 12.2857	  0.0000	  0.0000	  0.0000
  9.2000	 12.2857	  0.0000	  0.0000	  0.0000
  9.3714	 12.2857	  0.0000	  0.0000	  0.0000
  9.5429	 12.2857	  0.0000	  0.0000	  0.0000
  9.7143	 12.2857	  0.0000	  0.0000	  0.0000
  9.8857	 12.2857	  0.0000	  0.0000	  0.0000
 10.0571	 12.2857	  0.0000	  0.0000	  0.0000
 10.2286	 12.2857	  0.0000	  0.0000	  0.0000
 10.4000	 12.2857	  0.0000	  0.0000	  0.0000
 10.5714	 12.2857	  0.0000	  0.0000	  0.0000
 10.7429	 12.2857	  0.0000	  0.0000	  0.0000
 10.9143	 12.2857	  0.0000	  0.0000	  0.0000
