# x	y	u	v	mask
  0.2808	  9.6402	  0.0000	  0.0000	  0.0000
  0.4248	  9.6402	  0.0000	  0.0000	  0.0000
  0.5688	  9.6402	  0.0000	  0.0000	  0.0000
  0.7128	  9.6402	  0.0000	  0.0000	  0.0000
  0.8567	  9.6402	  0.0000	  0.0000	  0.0000
  1.0007	  9.6402	  0.0000	  0.0000	  0.0000
  1.1447	  9.6402	  0.0000	  0.0000	  0.0000
  1.2887	  9.6402	  0.0000	  0.0000	  0.0000
  1.4327	  9.6402	  0.0000	  0.0000	  0.0000
  1.5767	  9.6402	  0.0000	  0.0000	  0.0000
  1.7207	  9.6402	  0.0000	  0.0000	  0.0000
  1.8647	  9.6402	  0.0000	  0.0000	  0.0000
  2.0087	  9.6402	  0.0000	  0.0000	  0.0000
  2.1527	  9.6402	  0.0000	  0.0000	  0.0000
  2.2967	  9.6402	  0.0000	  0.0000	  0.0000
  2.4406	  9.6402	  6.3091	 -1.6784	  0.0000
  2.5846	  9.6402	  1.5198	 -0.8892	  0.0000
  2.7286	  9.6402	  0.1059	 -1.3386	  0.0000
  2.8726	  9.6402	 -1.2705	 -0.8469	  0.0000
  3.0166	  9.6402	 -1.5160	 -0.8421	  0.0000
  3.1606	  9.6402	 -1.5178	 -1.0867	  0.0000
  3.3046	  9.6402	 -1.1800	 -1.0582	  0.0000
  3.4486	  9.6402	 -2.1042	 -1.0963	  0.0000
  3.5926	  9.6402	 -1.8055	 -0.9663	  0.0000
  3.7366	  9.6402	 -1.5938	 -1.0917	  0.0000
  3.8806	  9.6402	 -0.9656	 -1.1576	  0.0000
  4.0245	  9.6402	 -1.5083	 -1.0846	  0.0000
  4.1685	  9.6402	 -2.1185	 -1.0502	  0.0000
  4.3125	  9.6402	 -2.3297	 -0.8431	  0.0000
  4.4565	  9.6402	 -2.6598	 -0.6304	  0.0000
  4.6005	  9.6402	 -2.5859	 -0.4030	  0.0000
  4.7445	  9.6402	 -2.5983	 -0.2978	  0.0000
  4.8885	  9.6402	 -2.6048	 -0.2056	  0.0000
  5.0325	  9.6402	 -2.5690	 -0.0864	  0.0000
  5.1765	  9.6402	 -2.4298	  0.0018	  0.0000
  5.3205	  9.6402	 -2.4554	  0.1343	  0.0000
  5.4645	  9.6402	 -2.3083	  0.0234	  0.0000
  5.6084	  9.6402	 -2.2814	  0.1757	  0.0000
  5.7524	  9.6402	 -2.1607	  0.2737	  0.0000
  5.8964	  9.6402	 -2.2152	  0.2784	  0.0000
  6.0404	  9.6402	 -2.0923	  0.4051	  0.0000
  6.1844	  9.6402	 -2.0585	  0.5268	  0.0000
  6.3284	  9.6402	 -1.9334	  0.5528	  0.0000
  6.4724	  9.6402	 -1.9412	  0.7557	  0.0000
  6.6164	  9.6402	 -1.6859	  0.5708	  0.0000
  6.7604	  9.6402	 -1.6995	  0.5812	  0.0000
  6.9044	  9.6402	 -1.7379	  0.7702	  0.0000
  7.0484	  9.6402	 -1.2224	  0.3967	  0.0000
  7.1923	  9.6402	 -0.8283	 -0.1791	  0.0000
  7.3363	  9.6402	 -3.0268	 -1.2139	  0.0000
  7.4803	  9.6402	 -1.2883	 -1.0392	  0.0000
  7.6243	  9.6402	 -0.8489	 -0.4300	  0.0000
  7.7683	  9.6402	 -3.9259	  0.0000	  0.0000
  7.9123	  9.6402	  0.0000	  0.0000	  0.0000
  8.0563	  9.6402	  0.0000	  0.0000	  0.0000
  8.2003	  9.6402	  0.0000	  0.0000	  0.0000
  8.3443	  9.6402	  0.0000	  0.0000	  0.0000
  8.4883	  9.6402	  0.0000	  0.0000	  0.0000
  8.6323	  9.6402	  0.0000	  0.0000	  0.0000
  8.7762	  9.6402	  0.0000	  0.0000	  0.0000
  8.9202	  9.6402	  0.0000	  0.0000	  0.0000
  9.0642	  9.6402	  0.0000	  0.0000	  0.0000
  9.2082	  9.6402	  0.0000	  0.0000	  0.0000
  9.3522	  9.6402	  0.0000	  0.0000	  0.0000
  9.4962	  9.6402	  0.0000	  0.0000	  0.0000
  9.6402	  9.6402	  0.0000	  0.0000	  0.0000
  0.2808	  9.4962	  0.0000	  0.0000	  0.0000
  0.4248	  9.4962	  0.0000	  0.0000	  0.0000
  0.5688	  9.4962	  0.0000	  0.0000	  0.0000
  0.7128	  9.4962	  0.0000	  0.0000	  0.0000
  0.8567	  9.4962	  0.0000	  0.0000	  0.0000
  1.0007	  9.4962	  0.0000	  0.0000	  0.0000
  1.1447	  9.4962	  0.0000	  0.0000	  0.0000
  1.2887	  9.4962	  0.0000	  0.0000	  0.0000
  1.4327	  9.4962	  0.0000	  0.0000	  0.0000
  1.5767	  9.4962	  0.0000	  0.0000	  0.0000
  1.7207	  9.4962	  0.0000	  0.0000	  0.0000
  1.8647	  9.4962	  0.0000	  0.0000	  0.0000
  2.0087	  9.4962	  0.0000	  0.0000	  0.0000
  2.1527	  9.4962	  0.0000	  0.0000	  0.0000
  2.2967	  9.4962	  0.7733	 -0.9120	  0.0000
  2.4406	  9.4962	 -1.1408	 -1.5436	  0.0000
  2.5846	  9.4962	 -1.8853	 -1.2597	  0.0000
  2.7286	  9.4962	 -1.9896	 -1.1903	  0.0000
  2.8726	  9.4962	 -1.6461	 -1.0605	  0.0000
  3.0166	  9.4962	 -0.9539	 -0.9625	  0.0000
  3.1606	  9.4962	 -1.7189	 -1.0406	  0.0000
  3.3046	  9.4962	 -1.4178	 -1.3143	  0.0000
  3.4486	  9.4962	 -1.9098	 -1.1726	  0.0000
  3.5926	  9.4962	 -2.3862	 -1.1423	  0.0000
  3.7366	  9.4962	 -2.2368	 -1.1370	  0.0000
  3.8806	  9.4962	 -2.8774	 -0.9905	  0.0000
  4.0245	  9.4962	 -2.4400	 -0.9941	  0.0000
