# x	y	u	v	mask
  0.2857	  9.5714	  0.0000	  0.0000	  0.0000
  0.4286	  9.5714	  0.0000	  0.0000	  0.0000
  0.5714	  9.5714	  0.0000	  0.0000	  0.0000
  0.7143	  9.5714	  0.0000	  0.0000	  0.0000
  0.8571	  9.5714	  0.0000	  0.0000	  0.0000
  1.0000	  9.5714	  0.0000	  0.0000	  0.0000
  1.1429	  9.5714	  0.0000	  0.0000	  0.0000
  1.2857	  9.5714	  0.0000	  0.0000	  0.0000
  1.4286	  9.5714	  0.0000	  0.0000	  0.0000
  1.5714	  9.5714	  0.0000	  0.0000	  0.0000
  1.7143	  9.5714	  0.0000	  0.0000	  0.0000
  1.8571	  9.5714	  0.0000	  0.0000	  0.0000
  2.0000	  9.5714	  0.0000	  0.0000	  0.0000
  2.1429	  9.5714	  0.0000	  0.0000	  0.0000
  2.2857	  9.5714	 -0.1703	  0.1166	  0.0000
  2.4286	  9.5714	 -1.1224	 -2.3221	  0.0000
  2.5714	  9.5714	 -0.2132	 -1.3565	  0.0000
  2.7143	  9.5714	 -0.3767	 -1.0372	  0.0000
  2.8571	  9.5714	 -2.6855	 -1.5732	  0.0000
  3.0000	  9.5714	 -5.5826	 -1.7597	  0.0000
  3.1429	  9.5714	 -5.6718	 -1.4847	  0.0000
  3.2857	  9.5714	 -5.9178	 -1.7795	  0.0000
  3.4286	  9.5714	 -6.3335	 -1.8885	  0.0000
  3.5714	  9.5714	 -6.2010	 -2.0696	  0.0000
  3.7143	  9.5714	 -6.4108	 -2.3970	  0.0000
  3.8571	  9.5714	 -6.6339	 -2.3609	  0.0000
  4.0000	  9.5714	 -6.9366	 -1.6715	  0.0000
  4.1429	  9.5714	 -6.5946	 -1.1877	  0.0000
  4.2857	  9.5714	 -6.6580	 -0.9787	  0.0000
  4.4286	  9.5714	 -6.8218	 -0.8033	  0.0000
  4.5714	  9.5714	 -7.0583	 -0.9793	  0.0000
  4.7143	  9.5714	 -7.0294	 -0.8107	  0.0000
  4.8571	  9.5714	 -7.2139	  0.0028	  0.0000
  5.0000	  9.5714	 -7.2635	  0.1917	  0.0000
  5.1429	  9.5714	 -7.5003	 -0.0753	  0.0000
  5.2857	  9.5714	 -6.9560	  0.4794	  0.0000
  5.4286	  9.5714	 -7.3990	  0.5293	  0.0000
  5.5714	  9.5714	 -7.2097	  0.9069	  0.0000
  5.7143	  9.5714	 -6.7938	  0.8030	  0.0000
  5.8571	  9.5714	 -6.9421	  1.0659	  0.0000
  6.0000	  9.5714	 -7.0523	  1.1353	  0.0000
  6.1429	  9.5714	 -7.0164	  1.3562	  0.0000
  6.2857	  9.5714	 -7.1243	  1.5245	  0.0000
  6.4286	  9.5714	 -6.6348	  1.3989	  0.0000
  6.5714	  9.5714	 -6.0183	  1.9600	  0.0000
  6.7143	  9.5714	 -6.9792	  1.2544	  0.0000
  6.8571	  9.5714	 -5.2853	  0.3450	  0.0000
  7.0000	  9.5714	 -3.7592	 -0.1947	  0.0000
  7.1429	  9.5714	 -1.0941	 -0.6600	  0.0000
  7.2857	  9.5714	 -0.5806	 -1.0027	  0.0000
  7.4286	  9.5714	 -2.3129	 -2.2833	  0.0000
  7.5714	  9.5714	 -8.4189	 -0.2131	  0.0000
  7.7143	  9.5714	  0.0000	  0.0000	  0.0000
  7.8571	  9.5714	  0.0000	  0.0000	  0.0000
  8.0000	  9.5714	  0.0000	  0.0000	  0.0000
  8.1429	  9.5714	  0.0000	  0.0000	  0.0000
  8.2857	  9.5714	  0.0000	  0.0000	  0.0000
  8.4286	  9.5714	  0.0000	  0.0000	  0.0000
  8.5714	  9.5714	  0.0000	  0.0000	  0.0000
  8.7143	  9.5714	  0.0000	  0.0000	  0.0000
  8.8571	  9.5714	  0.0000	  0.0000	  0.0000
  9.0000	  9.5714	  0.0000	  0.0000	  0.0000
  9.1429	  9.5714	  0.0000	  0.0000	  0.0000
  9.2857	  9.5714	  0.0000	  0.0000	  0.0000
  9.4286	  9.5714	  0.0000	  0.0000	  0.0000
  9.5714	  9.5714	  0.0000	  0.0000	  0.0000
  0.2857	  9.4286	  0.0000	  0.0000	  0.0000
  0.4286	  9.4286	  0.0000	  0.0000	  0.0000
  0.5714	  9.4286	  0.0000	  0.0000	  0.0000
  0.7143	  9.4286	  0.0000	  0.0000	  0.0000
  0.8571	  9.4286	  0.0000	  0.0000	  0.0000
  1.0000	  9.4286	  0.0000	  0.0000	  0.0000
  1.1429	  9.4286	  0.0000	  0.0000	  0.0000
  1.2857	  9.4286	  0.0000	  0.0000	  0.0000
  1.4286	  9.4286	  0.0000	  0.0000	  0.0000
  1.5714	  9.4286	  0.0000	  0.0000	  0.0000
  1.7143	  9.4286	  0.0000	  0.0000	  0.0000
  1.8571	  9.4286	  0.0000	  0.0000	  0.0000
  2.0000	  9.4286	  0.0000	  0.0000	  0.0000
  2.1429	  9.4286	  5.8052	 -7.4819	  0.0000
  2.2857	  9.4286	 -1.4174	 -1.6165	  0.0000
  2.4286	  9.4286	 -1.3487	 -1.3659	  0.0000
  2.5714	  9.4286	 -2.7854	 -2.1409	  0.0000
  2.7143	  9.4286	 -5.1956	 -2.0387	  0.0000
  2.8571	  9.4286	 -5.0575	 -1.8374	  0.0000
  3.0000	  9.4286	 -5.5791	 -2.6343	  0.0000
  3.1429	  9.4286	 -5.8266	 -2.7059	  0.0000
  3.2857	  9.4286	 -5.8712	 -2.7202	  0.0000
  3.4286	  9.4286	 -6.3356	 -2.8240	  0.0000
  3.5714	  9.4286	 -6.3738	 -2.2747	  0.0000
  3.7143	  9.4286	 -6.6777	 -1.8007	  0.0000
  3.8571	  9.4286	 -7.0584	 -1.9948	  0.0000
  4.0000	  9.4286	 -6.8494	 -1.7414	  0.0000
  4.1429	  9.4286	 -6.7353	 -1.4854	  0.0000
  4.2857	  9.4286	 -6.8695	 -1.3207	  0.0000
  4.4286	  9.4286	 -7.1813	 -1.2762	  0.0000
  4.5714	  9.4286	 -6.9308	 -0.7820	  0.0000
  4.7143	  9.4286	 -7.2696	 -0.6164	  0.0000
  4.8571	  9.4286	 -7.6275	 -0.5693	  0.0000
  5.0000	  9.4286	 -7.3456	 -0.4757	  0.0000
  5.1429	  9.4286	 -7.4500	  0.1861	  0.0000
  5.2857	  9.4286	 -7.6980	  0.2776	  0.0000
  5.4286	  9.4286	 -7.6604	  0.5240	  0.0000
  5.5714	  9.4286	 -7.1372	  1.1386	  0.0000
  5.7143	  9.4286	 -7.0471	  0.8219	  0.0000
  5.8571	  9.4286	 -7.2308	  0.9366	  0.0000
  6.0000	  9.4286	 -7.5805	  1.1293	  0.0000
  6.1429	  9.4286	 -7.5366	  1.3449	  0.0000
  6.2857	  9.4286	 -7.4408	  1.8184	  0.0000
  6.4286	  9.4286	 -7.2695	  1.7699	  0.0000
  6.5714	  9.4286	 -7.0783	  2.1276	  0.0000
  6.7143	  9.4286	 -7.5129	  1.8492	  0.0000
  6.8571	  9.4286	 -6.3421	  1.3258	  0.0000
  7.0000	  9.4286	 -5.6242	  1.0574	  0.0000
  7.1429	  9.4286	 -5.5262	  0.7679	  0.0000
  7.2857	  9.4286	 -2.5137	  0.1010	  0.0000
  7.4286	  9.4286	 -0.1306	 -1.1778	  0.0000
  7.5714	  9.4286	 -0.7378	 -0.0218	  0.0000
  7.7143	  9.4286	  6.8197	-10.0738	  0.0000
  7.8571	  9.4286	  0.0000	  0.0000	  0.0000
  8.0000	  9.4286	  0.0000	  0.0000	  0.0000
  8.1429	  9.4286	  0.0000	  0.0000	  0.0000
  8.2857	  9.4286	  0.0000	  0.0000	  0.0000
  8.4286	  9.4286	  0.0000	  0.0000	  0.0000
  8.5714	  9.4286	  0.0000	  0.0000	  0.0000
  8.7143	  9.4286	  0.0000	  0.0000	  0.0000
  8.8571	  9.4286	  0.0000	  0.0000	  0.0000
  9.0000	  9.4286	  0.0000	  0.0000	  0.0000
  9.1429	  9.4286	  0.0000	  0.0000	  0.0000
  9.2857	  9.4286	  0.0000	  0.0000	  0.0000
  9.4286	  9.4286	  0.0000	  0.0000	  0.0000
  9.5714	  9.4286	  0.0000	  0.0000	  0.0000
  0.2857	  9.2857	  0.0000	  0.0000	  0.0000
  0.4286	  9.2857	  0.0000	  0.0000	  0.0000
  0.5714	  9.2857	  0.0000	  0.0000	  0.0000
  0.7143	  9.2857	  0.0000	  0.0000	  0.0000
  0.8571	  9.2857	  0.0000	  0.0000	  0.0000
  1.0000	  9.2857	  0.0000	  0.0000	  0.0000
  1.1429	  9.2857	  0.0000	  0.0000	  0.0000
  1.2857	  9.2857	  0.0000	  0.0000	  0.0000
  1.4286	  9.2857	  0.0000	  0.0000	  0.0000
  1.5714	  9.2857	  0.0000	  0.0000	  0.0000
  1.7143	  9.2857	  0.0000	  0.0000	  0.0000
  1.8571	  9.2857	  0.9041	 -1.5331	  0.0000
  2.0000	  9.2857	 -0.6238	 -1.2715	  0.0000
  2.1429	  9.2857	  0.2696	 -0.7412	  0.0000
  2.2857	  9.2857	 -1.7206	 -1.7332	  0.0000
  2.4286	  9.2857	 -4.4779	 -2.3905	  0.0000
  2.5714	  9.2857	 -5.4561	 -2.3849	  0.0000
  2.7143	  9.2857	 -5.4191	 -2.4239	  0.0000
  2.8571	  9.2857	 -5.3692	 -3.0819	  0.0000
  3.0000	  9.2857	 -5.8551	 -3.0838	  0.0000
  3.1429	  9.2857	 -5.9395	 -3.2704	  0.0000
  3.2857	  9.2857	 -6.2625	 -2.9894	  0.0000
  3.4286	  9.2857	 -6.0741	 -2.3284	  0.0000
  3.5714	  9.2857	 -6.2544	 -2.6608	  0.0000
  3.7143	  9.2857	 -6.7794	 -1.8801	  0.0000
  3.8571	  9.2857	 -7.1421	 -2.1415	  0.0000
  4.0000	  9.2857	 -7.0333	 -1.9078	  0.0000
  4.1429	  9.2857	 -6.9097	 -1.6596	  0.0000
  4.2857	  9.2857	 -7.0760	 -1.4420	  0.0000
  4.4286	  9.2857	 -7.2308	 -0.9391	  0.0000
  4.5714	  9.2857	 -7.7271	 -0.8011	  0.0000
  4.7143	  9.2857	 -7.7587	 -0.7266	  0.0000
  4.8571	  9.2857	 -7.5940	 -0.7063	  0.0000
  5.0000	  9.2857	 -7.9936	 -0.3532	  0.0000
  5.1429	  9.2857	 -7.5035	 -0.1986	  0.0000
  5.2857	  9.2857	 -7.9356	 -0.0166	  0.0000
  5.4286	  9.2857	 -8.0577	  0.6352	  0.0000
  5.5714	  9.2857	 -7.8747	  0.8112	  0.0000
  5.7143	  9.2857	 -7.6746	  1.3447	  0.0000
  5.8571	  9.2857	 -7.7390	  1.4557	  0.0000
  6.0000	  9.2857	 -7.7268	  1.8124	  0.0000
  6.1429	  9.2857	 -7.6725	  2.0886	  0.0000
  6.2857	  9.2857	 -7.1245	  2.1407	  0.0000
