# x	y	u	v	mask
  0.2602	 11.9713	  0.0000	  0.0000	  0.0000
  0.4164	 11.9713	  0.0000	  0.0000	  0.0000
  0.5725	 11.9713	  0.0000	  0.0000	  0.0000
  0.7287	 11.9713	  0.0000	  0.0000	  0.0000
  0.8848	 11.9713	  0.0000	  0.0000	  0.0000
  1.0410	 11.9713	  0.0000	  0.0000	  0.0000
  1.1971	 11.9713	  0.0000	  0.0000	  0.0000
  1.3533	 11.9713	  0.0000	  0.0000	  0.0000
  1.5094	 11.9713	  0.0000	  0.0000	  0.0000
  1.6656	 11.9713	  0.0000	  0.0000	  0.0000
  1.8217	 11.9713	  0.0000	  0.0000	  0.0000
  1.9779	 11.9713	  0.0000	  0.0000	  0.0000
  2.1340	 11.9713	  0.0000	  0.0000	  0.0000
  2.2902	 11.9713	  0.0000	  0.0000	  0.0000
  2.4463	 11.9713	  0.0000	  0.0000	  0.0000
  2.6025	 11.9713	  0.0000	  0.0000	  0.0000
  2.7586	 11.9713	  0.0000	  0.0000	  0.0000
  2.9148	 11.9713	  0.0000	  0.0000	  0.0000
  3.0709	 11.9713	  0.0000	  0.0000	  0.0000
  3.2270	 11.9713	  0.0000	  0.0000	  0.0000
  3.3832	 11.9713	  0.0000	  0.0000	  0.0000
  3.5393	 11.9713	  0.0000	  0.0000	  0.0000
  3.6955	 11.9713	  0.0000	  0.0000	  0.0000
  3.8516	 11.9713	  0.1857	  0.2154	  0.0000
  4.0078	 11.9713	  1.9857	  0.4071	  0.0000
  4.1639	 11.9713	 -0.0457	  0.0723	  0.0000
  4.3201	 11.9713	 -0.6710	 -0.2833	  0.0000
  4.4762	 11.9713	  2.0920	  0.2944	  0.0000
  4.6324	 11.9713	 -3.3983	  0.3599	  0.0000
  4.7885	 11.9713	 -2.7303	 -0.1601	  0.0000
  4.9447	 11.9713	 -1.2687	 -0.1882	  0.0000
  5.1008	 11.9713	  0.6367	 -1.1212	  0.0000
  5.2570	 11.9713	 -0.1180	  0.1949	  0.0000
  5.4131	 11.9713	 -0.4642	 -0.2829	  0.0000
  5.5693	 11.9713	 -0.6593	 -0.0750	  0.0000
  5.7254	 11.9713	 -0.6144	 -0.1239	  0.0000
  5.8816	 11.9713	 -0.0067	  0.0173	  0.0000
  6.0377	 11.9713	 -0.1781	 -0.6448	  0.0000
  6.1939	 11.9713	  0.6207	 -0.0318	  0.0000
  6.3500	 11.9713	 -0.2695	  0.1868	  0.0000
  6.5061	 11.9713	  1.3146	 -0.0759	  0.0000
  6.6623	 11.9713	 -0.3905	 -0.0717	  0.0000
  6.8184	 11.9713	 -0.4771	  0.0107	  0.0000
  6.9746	 11.9713	 -0.4742	  0.0230	  0.0000
  7.1307	 11.9713	  0.2209	  0.0801	  0.0000
  7.2869	 11.9713	 -3.0699	 -0.9422	  0.0000
  7.4430	 11.9713	 -0.4411	  1.7047	  0.0000
  7.5992	 11.9713	 -5.2016	  3.1475	  0.0000
  7.7553	 11.9713	  0.0695	  1.2165	  0.0000
  7.9115	 11.9713	 -2.1800	 -0.6243	  0.0000
  8.0676	 11.9713	 -3.5410	 -0.0744	  0.0000
  8.2238	 11.9713	 -4.6078	 -0.1349	  0.0000
  8.3799	 11.9713	 -1.6733	 -0.5895	  0.0000
  8.5361	 11.9713	  0.0190	 -0.1228	  0.0000
  8.6922	 11.9713	  0.0000	  0.0000	  0.0000
  8.8484	 11.9713	  0.0000	  0.0000	  0.0000
  9.0045	 11.9713	  0.0000	  0.0000	  0.0000
  9.1607	 11.9713	  0.0000	  0.0000	  0.0000
  9.3168	 11.9713	  0.0000	  0.0000	  0.0000
  9.4730	 11.9713	  0.0000	  0.0000	  0.0000
  9.6291	 11.9713	  0.0000	  0.0000	  0.0000
  9.7852	 11.9713	  0.0000	  0.0000	  0.0000
  9.9414	 11.9713	  0.0000	  0.0000	  0.0000
 10.0975	 11.9713	  0.0000	  0.0000	  0.0000
 10.2537	 11.9713	  0.0000	  0.0000	  0.0000
