# x	y	u	v	mask
  0.5131	 11.2889	  0.0000	  0.0000	  0.0000
  0.8980	 11.2889	  0.0000	  0.0000	  0.0000
  1.2828	 11.2889	  0.0000	  0.0000	  0.0000
  1.6677	 11.2889	  0.0000	  0.0000	  0.0000
  2.0525	 11.2889	  0.0000	  0.0000	  0.0000
  2.4374	 11.2889	 -0.2520	 -0.4714	  0.0000
  2.8222	 11.2889	 -2.2288	 -0.9243	  0.0000
  3.2071	 11.2889	 -2.7289	 -0.8090	  0.0000
  3.5919	 11.2889	 -2.2405	 -0.9734	  0.0000
  3.9768	 11.2889	 -1.9557	 -0.8764	  0.0000
  4.3616	 11.2889	 -2.2900	 -0.9841	  0.0000
  4.7465	 11.2889	 -2.6358	 -0.9172	  0.0000
  5.1313	 11.2889	 -2.7151	 -0.7489	  0.0000
  5.5162	 11.2889	 -2.6784	 -0.5368	  0.0000
  5.9010	 11.2889	 -2.6542	 -0.3308	  0.0000
  6.2859	 11.2889	 -2.8387	 -0.0992	  0.0000
  6.6707	 11.2889	 -3.2024	  0.2541	  0.0000
  7.0556	 11.2889	 -3.3467	  0.5576	  0.0000
  7.4404	 11.2889	 -3.2628	  0.8698	  0.0000
  7.8253	 11.2889	 -2.1440	  0.6395	  0.0000
  8.2101	 11.2889	 -1.7742	  0.4833	  0.0000
  8.5949	 11.2889	 -1.7155	  0.4830	  0.0000
  8.9798	 11.2889	 -1.4719	  1.5186	  0.0000
  9.3646	 11.2889	 -0.9967	  0.6663	  0.0000
  9.7495	 11.2889	  0.0000	  0.0000	  0.0000
 10.1343	 11.2889	  0.0000	  0.0000	  0.0000
 10.5192	 11.2889	  0.0000	  0.0000	  0.0000
 10.9040	 11.2889	  0.0000	  0.0000	  0.0000
 11.2889	 11.2889	  0.0000	  0.0000	  0.0000
  0.5131	 10.9040	  0.0000	  0.0000	  0.0000
  0.8980	 10.9040	  0.0000	  0.0000	  0.0000
  1.2828	 10.9040	  0.0000	  0.0000	  0.0000
  1.6677	 10.9040	 -0.2089	  0.0229	  0.0000
  2.0525	 10.9040	 -1.2667	 -1.1165	  0.0000
  2.4374	 10.9040	 -2.4406	 -1.3809	  0.0000
  2.8222	 10.9040	 -2.4923	 -1.2633	  0.0000
  3.2071	 10.9040	 -2.6777	 -1.0492	  0.0000
  3.5919	 10.9040	 -2.7303	 -1.0458	  0.0000
  3.9768	 10.9040	 -2.8277	 -1.1406	  0.0000
  4.3616	 10.9040	 -3.0281	 -1.0820	  0.0000
  4.7465	 10.9040	 -3.0932	 -1.0023	  0.0000
  5.1313	 10.9040	 -3.1739	 -0.7884	  0.0000
  5.5162	 10.9040	 -3.4255	 -0.5100	  0.0000
  5.9010	 10.9040	 -3.7097	 -0.2584	  0.0000
  6.2859	 10.9040	 -3.8821	  0.0342	  0.0000
  6.6707	 10.9040	 -3.8812	  0.3236	  0.0000
  7.0556	 10.9040	 -3.7050	  0.7299	  0.0000
  7.4404	 10.9040	 -3.6880	  1.1718	  0.0000
  7.8253	 10.9040	 -3.4251	  1.3478	  0.0000
  8.2101	 10.9040	 -2.5901	  1.0352	  0.0000
  8.5949	 10.9040	 -1.9490	  0.8064	  0.0000
  8.9798	 10.9040	 -1.7688	  0.7877	  0.0000
  9.3646	 10.9040	 -1.0851	  0.6189	  0.0000
  9.7495	 10.9040	  0.0825	  0.1404	  0.0000
 10.1343	 10.9040	 -0.3154	  0.2339	  0.0000
 10.5192	 10.9040	  0.0000	  0.0000	  0.0000
 10.9040	 10.9040	  0.0000	  0.0000	  0.0000
