# x	y	u	v	mask
  0.2275	 11.1498	  0.0000	  0.0000	  0.0000
  0.3982	 11.1498	  0.0000	  0.0000	  0.0000
  0.5689	 11.1498	  0.0000	  0.0000	  0.0000
  0.7395	 11.1498	  0.0000	  0.0000	  0.0000
  0.9102	 11.1498	  0.0000	  0.0000	  0.0000
  1.0809	 11.1498	  0.0000	  0.0000	  0.0000
  1.2515	 11.1498	  0.0000	  0.0000	  0.0000
  1.4222	 11.1498	  0.0000	  0.0000	  0.0000
  1.5928	 11.1498	  0.0000	  0.0000	  0.0000
  1.7635	 11.1498	  0.0000	  0.0000	  0.0000
  1.9342	 11.1498	  0.0000	  0.0000	  0.0000
  2.1048	 11.1498	  0.0000	  0.0000	  0.0000
  2.2755	 11.1498	  0.0000	  0.0000	  0.0000
  2.4461	 11.1498	  0.0000	  0.0000	  0.0000
  2.6168	 11.1498	  0.0000	  0.0000	  0.0000
  2.7875	 11.1498	  0.0000	  0.0000	  0.0000
  2.9581	 11.1498	  0.0000	  0.0000	  0.0000
  3.1288	 11.1498	  0.0000	  0.0000	  0.0000
  3.2994	 11.1498	  0.1674	 -0.0129	  0.0000
  3.4701	 11.1498	 -0.9865	 -0.4423	  0.0000
  3.6408	 11.1498	 -1.0871	 -0.3753	  0.0000
  3.8114	 11.1498	 -1.9219	 -0.5584	  0.0000
  3.9821	 11.1498	 -2.6130	 -0.6003	  0.0000
  4.1527	 11.1498	 -2.7198	 -0.5183	  0.0000
  4.3234	 11.1498	 -2.7738	 -0.4328	  0.0000
  4.4941	 11.1498	 -2.8629	 -0.3898	  0.0000
  4.6647	 11.1498	 -2.8610	 -0.3057	  0.0000
  4.8354	 11.1498	 -2.7618	 -0.2104	  0.0000
  5.0060	 11.1498	 -2.8233	 -0.1452	  0.0000
  5.1767	 11.1498	 -2.7796	 -0.0472	  0.0000
  5.3474	 11.1498	 -2.7285	  0.0544	  0.0000
  5.5180	 11.1498	 -2.6615	  0.1963	  0.0000
  5.6887	 11.1498	 -2.5882	  0.2981	  0.0000
  5.8594	 11.1498	 -2.5426	  0.4355	  0.0000
  6.0300	 11.1498	 -2.5020	  0.5505	  0.0000
  6.2007	 11.1498	 -2.4437	  0.6673	  0.0000
  6.3713	 11.1498	 -2.4072	  0.7315	  0.0000
  6.5420	 11.1498	 -2.3979	  0.7617	  0.0000
  6.7127	 11.1498	 -2.3885	  0.7601	  0.0000
  6.8833	 11.1498	 -2.3484	  0.6980	  0.0000
  7.0540	 11.1498	 -2.4134	  0.6734	  0.0000
  7.2246	 11.1498	 -2.2844	  0.6086	  0.0000
  7.3953	 11.1498	 -2.1832	  0.6401	  0.0000
  7.5660	 11.1498	 -2.2256	  0.3534	  0.0000
  7.7366	 11.1498	 -1.7419	  0.3832	  0.0000
  7.9073	 11.1498	 -0.1685	  0.0998	  0.0000
  8.0779	 11.1498	  0.0000	  0.0000	  0.0000
  8.2486	 11.1498	  0.0000	  0.0000	  0.0000
  8.4193	 11.1498	  0.0000	  0.0000	  0.0000
  8.5899	 11.1498	  0.0000	  0.0000	  0.0000
  8.7606	 11.1498	  0.0000	  0.0000	  0.0000
  8.9312	 11.1498	  0.0000	  0.0000	  0.0000
  9.1019	 11.1498	  0.0000	  0.0000	  0.0000
  9.2726	 11.1498	  0.0000	  0.0000	  0.0000
  9.4432	 11.1498	  0.0000	  0.0000	  0.0000
  9.6139	 11.1498	  0.0000	  0.0000	  0.0000
  9.7845	 11.1498	  0.0000	  0.0000	  0.0000
  9.9552	 11.1498	  0.0000	  0.0000	  0.0000
 10.1259	 11.1498	  0.0000	  0.0000	  0.0000
 10.2965	 11.1498	  0.0000	  0.0000	  0.0000
 10.4672	 11.1498	  0.0000	  0.0000	  0.0000
 10.6378	 11.1498	  0.0000	  0.0000	  0.0000
 10.8085	 11.1498	  0.0000	  0.0000	  0.0000
